code,description
P0100,Mass or Volume Air Flow Circuit Malfunction
P0101,Mass or Volume Air Flow Circuit Range/Performance Problem
P0102,Mass or Volume Air Flow Circuit Low Input
P0103,Mass or Volume Air Flow Circuit High Input
P0104,Mass or Volume Air Flow Circuit Intermittent
P0105,Manifold Absolute Pressure/Barometric Pressure Circuit Malfunction
P0106,Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance Problem
P0107,Manifold Absolute Pressure/Barometric Pressure Circuit Low Input
P0108,Manifold Absolute Pressure/Barometric Pressure Circuit High Input
P0109,Manifold Absolute Pressure/Barometric Pressure Circuit Intermittent
P0110,IAT Circuit Malfunction
P0111,Intake Air Temperature Circuit Range/Performance Problem
P0112,Intake Air Temperature Circuit Low Input
P0113,Intake Air Temperature Circuit High Input
P0114,Intake Air Temperature Circuit Intermittent
P0115,Engine Coolant Temperature Circuit Malfunction
P0116,Engine Coolant Temperature Circuit Range/Performance Problem
P0117,Engine Coolant Temperature Circuit Low Input
P0118,Engine Coolant Temperature Circuit High Input
P0119,Engine Coolant Temperature Circuit Intermittent
P0120,Throttle Position Sensor/Switch A Circuit Malfunction
P0121,Throttle Position Sensor/Switch A Circuit Range/Performance Problem
P0122,Throttle Position Sensor/Switch A Circuit Low Input
P0123,Throttle Position Sensor/Switch A Circuit High Input
P0124,Throttle Position Sensor/Switch A Circuit Intermittent
P0125,Insufficient Coolant Temperature for Closed Loop Fuel Control;
P0126,ECT Excessive Time to Closed Loop Fuel Control
P0128,Insufficient Coolant Temperature for Stable Operation
P0130,Coolant Thermostat Malfunction
P0131,O2 Sensor Circuit Malfunction (Bank 1 Sensor 1)
P0132,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 1)
P0133,O2 Sensor Circuit High Voltage (Bank 1 Sensor 1)
P0134,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1)
P0135,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 1)
P0136,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1)
P0137,O2 Sensor Circuit Malfunction (Bank 1 Sensor 2)
P0138,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 2)
P0139,O2 Sensor Circuit High Voltage (Bank 1 Sensor 2)
P0140,O2 Sensor Circuit Slow Response (Bank 1 Sensor 2)
P0141,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 2)
P0142,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 2)
P0143,O2 Sensor Circuit Malfunction (Bank 1 Sensor 3)
P0144,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 3)
P0145,O2 Sensor Circuit High Voltage (Bank 1 Sensor 3)
P0146,O2 Sensor Circuit Slow Response (Bank 1 Sensor 3)
P0147,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 3)
P0150,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 3)
P0151,O2 Sensor Circuit Malfunction (Bank 2 Sensor 1)
P0152,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 1)
P0153,O2 Sensor Circuit High Voltage (Bank 2 Sensor 1)
P0154,O2 Sensor Circuit Slow Response (Bank 2 Sensor 1)
P0155,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 1)
P0156,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 1)
P0157,O2 Sensor Circuit Malfunction (Bank 2 Sensor 2)
P0158,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 2)
P0159,O2 Sensor Circuit High Voltage (Bank 2 Sensor 2)
P0160,O2 Sensor Circuit Slow Response (Bank 2 Sensor 2)
P0161,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 2)
P0162,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 2)
P0163,O2 Sensor Circuit Malfunction (Bank 2 Sensor 3)
P0164,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 3)
P0165,O2 Sensor Circuit High Voltage (Bank 2 Sensor 3)
P0166,O2 Sensor Circuit Slow Response (Bank 2 Sensor 3)
P0167,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 3)
P0170,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 3)
P0171,Fuel Trim Malfunction (Bank 1)
P0172,Fuel Trim System Lean (Bank 1)
P0173,Fuel Trim too Rich (Bank 1)
P0174,Fuel Trim Malfunction (Bank 2)
P0175,Fuel Trim too Lean (Bank 2)
P0176,Fuel Trim too Rich (Bank 2)
P0177,Fuel Composition Sensor Circuit Malfunction
P0178,Fuel Composition Sensor Circuit Range/Performance
P0179,Fuel Composition Sensor Circuit Low Input
P0180,Fuel Composition Sensor Circuit High Input
P0181,Fuel Temperature Sensor A Circuit Malfunction
P0182,Fuel Temperature Sensor A Circuit Range/Performance
P0183,Fuel Temperature Sensor A Circuit Low Input
P0184,Fuel Temperature Sensor A Circuit High Input
P0185,Fuel Temperature Sensor A Circuit Intermittent
P0186,Fuel Temperature Sensor B Circuit Malfunction
P0187,Fuel Temperature Sensor B Circuit Range/Performance
P0188,Fuel Temperature Sensor B Circuit Low Input
P0189,Fuel Temperature Sensor B Circuit High Input
P0190,Fuel Temperature Sensor B Circuit Intermittent
P0191,Fuel Rail Pressure Sensor Circuit Malfunction
P0192,Fuel Rail Pressure Sensor Circuit Range/Performance
P0193,Fuel Rail Pressure Sensor Circuit Low Input
P0194,Fuel Rail Pressure Sensor Circuit High Input
P0195,Fuel Rail Pressure Sensor Circuit Intermittent
P0196,Engine Oil Temperature Sensor Malfunction
P0197,Engine Oil Temperature Sensor Range/Performance
P0198,Engine Oil Temperature Sensor Low
P0199,Engine Oil Temperature Sensor High
P0200,Engine Oil Temperature Sensor Intermittent
P0201,Injector Circuit Malfunction
P0202,Injector Circuit Malfunction - Cylinder 1
P0203,Injector Circuit Malfunction - Cylinder 2
P0204,Injector Circuit Malfunction - Cylinder 3
P0205,Injector Circuit Malfunction - Cylinder 4
P0206,Injector Circuit Malfunction - Cylinder 5
P0207,Injector Circuit Malfunction - Cylinder 6
P0208,Injector Circuit Malfunction - Cylinder 7
P0209,Injector Circuit Malfunction - Cylinder 8
P0210,Injector Circuit Malfunction - Cylinder 9
P0211,Injector Circuit Malfunction - Cylinder 10
P0212,Injector Circuit Malfunction - Cylinder 11
P0213,Injector Circuit Malfunction - Cylinder 12
P0214,Cold Start Injector 1 Malfunction
P0215,Cold Start Injector 2 Malfunction
P0216,Engine Shutoff Solenoid Malfunction
P0217,Injection Timing Control Circuit Malfunction
P0218,Engine Overtemp Condition
P0219,Transmission Over Temperature Condition
P0220,Engine Overspeed Condition
P0221,Throttle/Petal Position Sensor/Switch B Circuit Malfunction
P0222,Throttle/Petal Position Sensor/Switch B Circuit Range/Performance Problem
P0223,Throttle/Petal Position Sensor/Switch B Circuit Low Input
P0224,Throttle/Petal Position Sensor/Switch B Circuit High Input
P0225,Throttle/Petal Position Sensor/Switch B Circuit Intermittent
P0226,Throttle/Petal Position Sensor/Switch C Circuit Malfunction
P0227,Throttle/Petal Position Sensor/Switch C Circuit Range/Performance Problem
P0228,Throttle/Petal Position Sensor/Switch C Circuit Low Input
P0229,Throttle/Petal Position Sensor/Switch C Circuit High Input
P0230,Throttle/Petal Position Sensor/Switch C Circuit Intermittent
P0231,Fuel Pump Primary Circuit Malfunction
P0232,Fuel Pump Secondary Circuit Low
P0233,Fuel Pump Secondary Circuit High
P0234,Fuel Pump Secondary Circuit Intermittent
P0235,Engine Overboost Condition
P0236,Turbocharger Boost Sensor A Circuit Malfunction
P0237,Turbocharger Boost Sensor A Circuit Range/Performance
P0238,Turbocharger Boost Sensor A Circuit Low
P0239,Turbocharger Boost Sensor A Circuit High
P0240,Turbocharger Boost Sensor B Malfunction
P0241,Turbocharger Boost Sensor B Circuit Range/Performance
P0242,Turbocharger Boost Sensor B Circuit Low
P0243,Turbocharger Boost Sensor B Circuit High
P0244,Turbocharger Wastegate Solenoid A Malfunction
P0245,Turbocharger Wastegate Solenoid A Range/Performance
P0246,Turbocharger Wastegate Solenoid A Low
P0247,Turbocharger Wastegate Solenoid A High
P0248,Turbocharger Wastegate Solenoid B Malfunction
P0249,Turbocharger Wastegate Solenoid B Range/Performance
P0250,Turbocharger Wastegate Solenoid B Low
P0251,Turbocharger Wastegate Solenoid B High
P0252,"Injection Pump Fuel Metering Control ""A"" Malfunction (Cam/Rotor/Injector)"
P0253,"Injection Pump Fuel Metering Control ""A"" Range/Performance (Cam/Rotor/Injector)"
P0254,"Injection Pump Fuel Metering Control ""A"" Low (Cam/Rotor/Injector)"
P0255,"Injection Pump Fuel Metering Control ""A"" High (Cam/Rotor/Injector)"
P0256,"Injection Pump Fuel Metering Control ""A"" Intermittent (Cam/Rotor/Injector)"
P0257,"Injection Pump Fuel Metering Control ""B"" Malfunction (Cam/Rotor/Injector)"
P0258,"Injection Pump Fuel Metering Control ""B"" Range/Performance (Cam/Rotor/Injector)"
P0259,"Injection Pump Fuel Metering Control ""B"" Low (Cam/Rotor/Injector)"
P0260,"Injection Pump Fuel Metering Control ""B"" High (Cam/Rotor/Injector)"
P0261,"Injection Pump Fuel Metering Control ""B"" Intermittent (Cam/Rotor/Injector)"
P0262,Cylinder 1 Injector Circuit Low
P0263,Cylinder 1 Injector Circuit High
P0264,Cylinder 1 Contribution/Balance Fault
P0265,Cylinder 2 Injector Circuit Low
P0266,Cylinder 2 Injector Circuit High
P0267,Cylinder 2 Contribution/Balance Fault
P0268,Cylinder 3 Injector Circuit Low
P0269,Cylinder 3 Injector Circuit High
P0270,Cylinder 3 Contribution/Balance Fault
P0271,Cylinder 4 Injector Circuit Low
P0272,Cylinder 4 Injector Circuit High
P0273,Cylinder 4 Contribution/Balance Fault
P0274,Cylinder 5 Injector Circuit Low
P0275,Cylinder 5 Injector Circuit High
P0276,Cylinder 5 Contribution/Balance Fault
P0277,Cylinder 6 Injector Circuit Low
P0278,Cylinder 6 Injector Circuit High
P0279,Cylinder 6 Contribution/Balance Fault
P0280,Cylinder 7 Injector Circuit Low
P0281,Cylinder 7 Injector Circuit High
P0282,Cylinder 7 Contribution/Balance Fault
P0283,Cylinder 8 Injector Circuit Low
P0284,Cylinder 8 Injector Circuit High
P0285,Cylinder 8 Contribution/Balance Fault
P0286,Cylinder 9 Injector Circuit Low
P0287,Cylinder 9 Injector Circuit High
P0288,Cylinder 9 Contribution/Balance Fault
P0289,Cylinder 10 Injector Circuit Low
P0290,Cylinder 10 Injector Circuit High
P0291,Cylinder 10 Contribution/Balance Fault
P0292,Cylinder 11 Injector Circuit Low
P0293,Cylinder 11 Injector Circuit High
P0294,Cylinder 11 Contribution/Balance Fault
P0295,Cylinder 12 Injector Circuit Low
P0296,Cylinder 12 Injector Circuit High
P0300,Cylinder 12 Contribution/Range Fault
P0301,Random/Multiple Cylinder Misfire Detected
P0302,Cylinder 1 Misfire Detected
P0303,Cylinder 2 Misfire Detected
P0304,Cylinder 3 Misfire Detected
P0305,Cylinder 4 Misfire Detected
P0306,Cylinder 5 Misfire Detected
P0307,Cylinder 6 Misfire Detected
P0308,Cylinder 7 Misfire Detected
P0309,Cylinder 8 Misfire Detected
P0310,Cylinder 9 Misfire Detected
P0311,Cylinder 10 Misfire Detected
P0312,Cylinder 11 Misfire Detected
P0320,Cylinder 12 Misfire Detected
P0321,Ignition/Distributor Engine Speed Input Circuit Malfunction
P0322,Ignition/Distributor Engine Speed Input Circuit Range/Performance
P0323,Ignition/Distributor Engine Speed Input Circuit No Signal
P0325,Ignition/Distributor Engine Speed Input Circuit Intermittent
P0326,Knock Sensor 1 Circuit Malfunction (Bank 1 or Single Sensor)
P0327,Knock Sensor 1 Circuit Range/Performance (Bank 1 or Single Sensor)
P0328,Knock Sensor 1 Circuit Low Input (Bank 1 or Single Sensor)
P0329,Knock Sensor 1 Circuit High Input (Bank 1 or Single Sensor)
P0330,Knock Sensor 1 Circuit Intermittent (Bank 1 or Single Sensor)
P0331,Knock Sensor 2 Circuit Malfunction (Bank 2)
P0332,Knock Sensor 2 Circuit Range/Performance (Bank 2)
P0333,Knock Sensor 2 Circuit Low Input (Bank 2)
P0334,Knock Sensor 2 Circuit High Input (Bank 2)
P0335,Knock Sensor 2 Circuit Intermittent (Bank 2)
P0336,Crankshaft Position Sensor A Circuit Malfunction
P0337,Crankshaft Position Sensor A Circuit Range/Performance
P0338,Crankshaft Position Sensor A Circuit Low Input
P0339,Crankshaft Position Sensor A Circuit High Input
P0340,Crankshaft Position Sensor A Circuit Intermittent
P0341,Camshaft Position Sensor Circuit Malfunction
P0342,Camshaft Position Sensor Circuit Range/Performance
P0343,Camshaft Position Sensor Circuit Low Input
P0344,Camshaft Position Sensor Circuit High Input
P0350,Camshaft Position Sensor Circuit Intermittent
P0351,Ignition Coil Primary/Secondary Circuit Malfunction
P0352,Ignition Coil A Primary/Secondary Circuit Malfunction
P0353,Ignition Coil B Primary/Secondary Circuit Malfunction
P0354,Ignition Coil C Primary/Secondary Circuit Malfunction
P0355,Ignition Coil D Primary/Secondary Circuit Malfunction
P0356,Ignition Coil E Primary/Secondary Circuit Malfunction
P0357,Ignition Coil F Primary/Secondary Circuit Malfunction
P0358,Ignition Coil G Primary/Secondary Circuit Malfunction
P0359,Ignition Coil H Primary/Secondary Circuit Malfunction
P0360,Ignition Coil I Primary/Secondary Circuit Malfunction
P0361,Ignition Coil J Primary/Secondary Circuit Malfunction
P0362,Ignition Coil K Primary/Secondary Circuit Malfunction
P0370,Ignition Coil L Primary/Secondary Circuit Malfunction
P0371,Timing Reference High Resolution Signal A Malfunction
P0372,Timing Reference High Resolution Signal A Too Many Pulses
P0373,Timing Reference High Resolution Signal A Too Few Pulses
P0374,Timing Reference High Resolution Signal A Intermittent/Erratic Pulses
P0375,Timing Reference High Resolution Signal A No Pulses
P0376,Timing Reference High Resolution Signal B Malfunction
P0377,Timing Reference High Resolution Signal B Too Many Pulses
P0378,Timing Reference High Resolution Signal B Too Few Pulses
P0379,Timing Reference High Resolution Signal B Intermittent/Erratic Pulses
P0380,Timing Reference High Resolution Signal B No Pulses
P0381,"Glow Plug/Heater Circuit ""A"" Malfunction"
P0382,Glow Plug/Heater Indicator Circuit Malfunction
P0385,Exhaust Gas Recirculation Flow Malfunction
P0386,Crankshaft Position Sensor B Circuit Malfunction
P0387,Crankshaft Position Sensor B Circuit Range/Performance
P0388,Crankshaft Position Sensor B Circuit Low Input
P0389,Crankshaft Position Sensor B Circuit High Input
P0400,Crankshaft Position Sensor B Circuit Intermittent
P0401,Exhaust Gas Recirculation Flow Malfunction
P0402,Exhaust Gas Recirculation Flow Insufficient Detected
P0403,Exhaust Gas Recirculation Flow Excessive Detected
P0404,Exhaust Gas Recirculation Circuit Malfunction
P0405,Exhaust Gas Recirculation Circuit Range/Performance
P0406,Exhaust Gas Recirculation Sensor A Circuit Low
P0407,Exhaust Gas Recirculation Sensor A Circuit High
P0408,Exhaust Gas Recirculation Sensor B Circuit Low
P0410,Exhaust Gas Recirculation Sensor B Circuit High
P0411,Secondary Air Injection System Malfunction
P0412,Secondary Air Injection System Incorrect Flow Detected
P0413,Secondary Air Injection System Switching Valve A Circuit Malfunction
P0414,Secondary Air Injection System Switching Valve A Circuit Open
P0415,Secondary Air Injection System Switching Valve A Circuit Shorted
P0416,Secondary Air Injection System Switching Valve B Circuit Malfunction
P0417,Secondary Air Injection System Switching Valve B Circuit Open
P0418,Secondary Air Injection System Switching Valve B Circuit Shorted
P0419,"Secondary Air Injection System Relay ""A"" Circuit Malfunction"
P0420,"Secondary Air Injection System Relay ""B"" Circuit Malfunction"
P0421,Catalyst System Efficiency Below Threshold (Bank 1)
P0422,Warm Up Catalyst Efficiency Below Threshold (Bank 1)
P0423,Main Catalyst Efficiency Below Threshold (Bank 1)
P0424,Heated Catalyst Efficiency Below Threshold (Bank 1)
P0426,Heated Catalyst Temperature Below Threshold (Bank 1)
P0427,Catalyst Temperature Sensor Range/Performance (Bank 1)
P0428,Catalyst Temperature Sensor Low Input (Bank 1)
P0430,Catalyst Temperature Sensor High Input (Bank 1)
P0431,Catalyst System Efficiency Below Threshold (Bank 2)
P0432,Warm Up Catalyst Efficiency Below Threshold (Bank 2)
P0433,Main Catalyst Efficiency Below Threshold (Bank 2)
P0434,Heated Catalyst Efficiency Below Threshold (Bank 2)
P0436,Heated Catalyst Temperature Below Threshold (Bank 2)
P0437,Catalyst Temperature Sensor Range/Performance (Bank 2)
P0438,Catalyst Temperature Sensor Low Input (Bank 2)
P0440,Catalyst Temperature Sensor High Input (Bank 2)
P0441,Evaporative Emission Control System Malfunction
P0442,Evaporative Emission Control System Incorrect Purge Flow
P0443,Evaporative Emission Control System Leak Detected (small leak)
P0444,Evaporative Emission Control System Purge Control Valve Circuit Malfunction
P0445,Evaporative Emission Control System Purge Control Valve Circuit Open
